"pipeline_tag","ko","ja","zh","en","total"
"text-generation","5144","5141","5127","5127","20539"
"None","3923","3914","3927","3926","15690"
"text-to-image","1116","1120","1130","1129","4495"
"image-text-to-text","1079","1074","1118","1120","4391"
"token-classification","713","713","708","708","2842"
"text-classification","388","387","375","375","1525"
"image-classification","373","373","364","364","1474"
"feature-extraction","370","370","362","362","1464"
"sentence-similarity","363","364","361","361","1449"
"automatic-speech-recognition","341","344","343","343","1371"
"fill-mask","293","292","286","286","1157"
"image-to-image","246","242","239","239","966"
"text-to-speech","221","221","219","219","880"
"translation","164","163","160","160","647"
"zero-shot-image-classification","138","138","135","135","546"
"image-to-video","132","133","132","130","527"
"image-feature-extraction","107","107","106","106","426"
"image-to-text","106","106","105","105","422"
"text-to-video","105","105","104","105","419"
"any-to-any","92","92","109","109","402"
"image-segmentation","71","72","69","69","281"
"object-detection","69","69","67","67","272"
"text-ranking","61","61","61","61","244"
"time-series-forecasting","59","59","61","61","240"
"audio-classification","58","58","58","58","232"
"question-answering","58","58","57","57","230"
"audio-to-audio","49","49","51","51","200"
"image-to-3d","48","48","49","49","194"
"summarization","47","47","48","48","190"
"text-to-audio","46","46","48","47","187"
"zero-shot-classification","46","46","46","46","184"
"depth-estimation","43","43","44","44","174"
"robotics","47","47","37","37","168"
"audio-text-to-text","31","31","32","32","126"
"visual-document-retrieval","30","30","30","30","120"
"visual-question-answering","29","29","29","29","116"
"video-classification","28","28","27","27","110"
"video-text-to-text","24","24","24","24","96"
"mask-generation","23","23","24","24","94"
"reinforcement-learning","22","22","22","22","88"
"video-to-video","19","19","20","20","78"
"voice-activity-detection","15","15","16","16","62"
"zero-shot-object-detection","14","14","14","14","56"
"text-to-3d","12","12","12","12","48"
"keypoint-detection","9","9","9","9","36"
"tabular-classification","9","9","9","9","36"
"table-question-answering","7","7","7","7","28"
"unconditional-image-generation","6","6","7","7","26"
"image-text-to-image","6","5","5","5","21"
"document-question-answering","5","5","5","5","20"
"graph-ml","3","3","3","3","12"
"tabular-regression","3","3","3","3","12"
"other","2","2","3","3","10"
"image-text-to-video","2","2","2","2","8"
"multiple-choice","1","1","1","1","4"
