"library_name","ko","ja","zh","en","total"
"transformers","9028","9025","8971","8971","35995"
"None","3539","3527","3580","3580","14226"
"diffusers","1400","1400","1409","1408","5617"
"sentence-transformers","453","454","452","452","1811"
"timm","288","288","276","276","1128"
"mlx","198","199","202","202","801"
"peft","127","127","128","128","510"
"gliner","106","106","106","106","424"
"vllm","93","93","92","92","370"
"transformers.js","92","92","91","91","366"
"diffusion-single-file","83","83","83","83","332"
"open_clip","80","80","77","77","314"
"gguf","72","71","79","79","301"
"nemo","52","52","52","52","208"
"Model Optimizer","32","32","31","31","126"
"PaddleOCR","28","28","28","28","112"
"llama.cpp","24","24","27","27","102"
"pytorch","24","24","24","24","96"
"cosmos","22","22","22","21","87"
"speechbrain","20","20","20","20","80"
"pyannote-audio","20","19","20","20","79"
"ctranslate2","19","19","20","20","78"
"ultralytics","19","19","18","18","74"
"videox_fun","17","17","18","18","70"
"mlc-llm","17","17","17","17","68"
"lerobot","18","18","12","12","60"
"flair","15","15","15","15","60"
"tf-keras","15","15","15","15","60"
"chronos-forecasting","13","13","13","13","52"
"moshi","11","11","11","11","44"
"colpali","11","11","11","11","44"
"ggml","10","10","12","12","44"
"model2vec","11","11","10","10","42"
"adapter-transformers","10","10","10","10","40"
"litert-lm","9","9","10","10","38"
"kernels","8","8","10","10","36"
"segmentation-models-pytorch","9","9","9","9","36"
"wan2.2","9","9","9","9","36"
"hunyuan3d-2","9","9","9","9","36"
"depth-anything-3","9","9","9","9","36"
"terratorch","9","9","9","9","36"
"spacy","8","8","8","8","32"
"braindecode","8","8","8","8","32"
"f5-tts","8","8","8","8","32"
"birefnet","7","7","7","7","28"
"whisperkit","7","7","7","7","28"
"coreml","7","7","7","7","28"
"tensorrt","7","7","7","7","28"
"espnet","7","7","7","7","28"
"pysentimiento","7","7","6","6","26"
"PyLate","6","6","6","6","24"
"keras","5","5","6","6","22"
"chatterbox","4","4","4","4","16"
"hunyuan-dit","4","4","4","4","16"
"PyTorch","4","4","4","4","16"
"pruna-ai","4","4","4","4","16"
