"license","ko","ja","zh","en","total"
"apache-2.0","6693","6684","6705","6705","26787"
"N/A","2736","2730","2736","2736","10938"
"other","1925","1925","1931","1930","7711"
"mit","1944","1943","1904","1908","7699"
"cc-by-nc-4.0","504","504","504","504","2016"
"creativeml-openrail-m","453","453","454","453","1813"
"gemma","302","304","319","319","1244"
"llama2","275","276","276","276","1103"
"llama3","190","190","189","189","758"
"cc-by-4.0","176","174","171","171","692"
"llama3.1","166","166","168","168","668"
"cc-by-nc-sa-4.0","152","152","161","161","626"
"openrail","119","119","121","121","480"
"openrail++","98","98","98","98","392"
"llama3.2","82","82","83","83","330"
"cc-by-sa-4.0","72","72","70","70","284"
"bsd-3-clause","71","71","68","64","274"
"gpl-3.0","67","67","65","65","264"
"agpl-3.0","42","41","42","42","167"
"llama3.3","36","36","34","34","140"
"apple-amlr","34","34","32","32","132"
"cc-by-nc-nd-4.0","32","32","32","32","128"
"bigscience-bloom-rail-1.0","32","32","31","31","126"
"unknown","28","28","28","28","112"
"wtfpl","25","25","25","25","100"
"cc0-1.0","25","25","25","25","100"
"bigcode-openrail-m","21","21","21","21","84"
"afl-3.0","12","12","11","11","46"
"cc-by-sa-3.0","12","12","11","11","46"
"cc-by-nc-2.0","9","9","9","9","36"
"bigscience-openrail-m","9","9","9","9","36"
"cc","8","9","9","9","35"
"cdla-permissive-2.0","8","8","8","8","32"
"gpl","7","7","7","7","28"
"llama4","7","7","6","6","26"
"cc-by-nc-3.0","6","6","6","6","24"
"deepfloyd-if-license","4","4","5","5","18"
"bsd-2-clause","4","4","4","4","16"
"fair-noncommercial-research-license","4","4","4","4","16"
"apple-ascl","4","4","4","4","16"
"lgpl-3.0","4","4","4","4","16"
"artistic-2.0","4","4","4","4","16"
"unlicense","4","4","4","4","16"
"gpl-2.0","2","2","2","2","8"
"eupl-1.2","1","1","2","2","6"
"pddl","1","1","1","1","4"
"cc-by-2.0","1","1","1","1","4"
"osl-3.0","1","1","1","1","4"
"cc-by-nc-sa-2.0","1","1","1","1","4"
"mpl-2.0","1","1","1","1","4"
"lgpl","1","1","1","1","4"
"ms-pl","1","1","1","1","4"
"odc-by","0","0","1","1","2"
