"rank","language","author","model_count","is_organization"
"1","ko","mradermacher","600","False"
"2","ko","OpenMed","509","True"
"3","ko","unsloth","420","True"
"4","ko","TheBloke","349","False"
"5","ko","Qwen","319","True"
"6","ko","timm","309","True"
"7","ko","facebook","297","True"
"8","ko","nvidia","279","True"
"9","ko","google","253","True"
"10","ko","bartowski","245","False"
"11","ko","lmstudio-community","231","True"
"12","ko","microsoft","197","True"
"13","ko","optimum-intel-internal-testing","166","True"
"14","ko","mlx-community","160","True"
"15","ko","zai-org","91","True"
"16","ko","allenai","90","True"
"17","ko","Helsinki-NLP","81","True"
"18","ko","ibm-granite","75","True"
"19","ko","stabilityai","72","True"
"20","ko","RedHatAI","72","True"
"1","ja","mradermacher","600","False"
"2","ja","OpenMed","509","True"
"3","ja","unsloth","420","True"
"4","ja","TheBloke","350","False"
"5","ja","Qwen","319","True"
"6","ja","timm","309","True"
"7","ja","facebook","297","True"
"8","ja","nvidia","279","True"
"9","ja","google","253","True"
"10","ja","bartowski","245","False"
"11","ja","lmstudio-community","231","True"
"12","ja","microsoft","197","True"
"13","ja","optimum-intel-internal-testing","166","True"
"14","ja","mlx-community","160","True"
"15","ja","zai-org","91","True"
"16","ja","allenai","90","True"
"17","ja","Helsinki-NLP","80","True"
"18","ja","ibm-granite","75","True"
"19","ja","stabilityai","72","True"
"20","ja","RedHatAI","72","True"
"1","zh","mradermacher","581","False"
"2","zh","OpenMed","508","True"
"3","zh","unsloth","418","True"
"4","zh","TheBloke","350","False"
"5","zh","Qwen","321","True"
"6","zh","timm","295","True"
"7","zh","facebook","292","True"
"8","zh","nvidia","275","True"
"9","zh","google","254","True"
"10","zh","bartowski","246","False"
"11","zh","lmstudio-community","244","True"
"12","zh","microsoft","193","True"
"13","zh","optimum-intel-internal-testing","171","True"
"14","zh","mlx-community","144","True"
"15","zh","zai-org","90","True"
"16","zh","allenai","88","True"
"17","zh","Helsinki-NLP","77","True"
"18","zh","ibm-granite","73","True"
"19","zh","MaziyarPanahi","73","False"
"20","zh","stabilityai","72","True"
"1","en","mradermacher","581","False"
"2","en","OpenMed","508","True"
"3","en","unsloth","418","True"
"4","en","TheBloke","350","False"
"5","en","Qwen","321","True"
"6","en","timm","295","True"
"7","en","facebook","292","True"
"8","en","nvidia","274","True"
"9","en","google","254","True"
"10","en","bartowski","246","False"
"11","en","lmstudio-community","244","True"
"12","en","microsoft","193","True"
"13","en","optimum-intel-internal-testing","171","True"
"14","en","mlx-community","144","True"
"15","en","zai-org","90","True"
"16","en","allenai","88","True"
"17","en","Helsinki-NLP","77","True"
"18","en","ibm-granite","73","True"
"19","en","MaziyarPanahi","73","False"
"20","en","stabilityai","72","True"
