"year_month","ko","ja","zh","en","total"
"2022-03","1203","1203","1176","1176","4758"
"2022-04","72","71","65","65","273"
"2022-05","62","60","58","58","238"
"2022-06","54","54","53","53","214"
"2022-07","45","45","43","43","176"
"2022-08","43","43","44","44","174"
"2022-09","96","96","96","96","384"
"2022-10","102","102","98","98","400"
"2022-11","158","158","158","158","632"
"2022-12","257","255","248","248","1008"
"2023-01","212","212","211","211","846"
"2023-02","162","162","160","160","644"
"2023-03","245","245","242","242","974"
"2023-04","312","311","306","306","1235"
"2023-05","252","252","253","253","1010"
"2023-06","200","200","198","198","796"
"2023-07","260","260","260","260","1040"
"2023-08","262","262","262","262","1048"
"2023-09","256","256","252","252","1016"
"2023-10","263","263","263","263","1052"
"2023-11","274","274","277","277","1102"
"2023-12","275","275","269","269","1088"
"2024-01","348","348","335","335","1366"
"2024-02","290","290","290","290","1160"
"2024-03","253","253","253","253","1012"
"2024-04","438","438","436","436","1748"
"2024-05","359","359","358","358","1434"
"2024-06","318","318","313","313","1262"
"2024-07","375","375","374","374","1498"
"2024-08","368","368","371","371","1478"
"2024-09","439","439","435","435","1748"
"2024-10","303","303","305","305","1216"
"2024-11","428","428","424","424","1704"
"2024-12","292","292","283","283","1150"
"2025-01","385","385","376","376","1522"
"2025-02","370","370","366","366","1472"
"2025-03","375","375","375","375","1500"
"2025-04","460","460","456","453","1829"
"2025-05","345","345","334","331","1355"
"2025-06","335","335","331","331","1332"
"2025-07","748","748","739","739","2974"
"2025-08","432","432","415","415","1694"
"2025-09","424","424","419","419","1686"
"2025-10","503","503","502","503","2011"
"2025-11","298","298","294","294","1184"
"2025-12","393","392","387","387","1559"
"2026-01","439","439","422","422","1722"
"2026-02","441","441","438","438","1758"
"2026-03","779","770","662","662","2873"
"2026-04","413","414","725","728","2280"
